page,country,clicks,impressions,ctr,position,date
https://advertools.readthedocs.io/,usa,51,391,0.13043478260869565,47.30434782608695,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.logs.html,ind,49,688,0.07122093023255814,21.98546511627907,2023-01-31
https://advertools.readthedocs.io/,ind,28,108,0.25925925925925924,27.962962962962962,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.logs.html,usa,21,2350,0.008936170212765958,30.180851063829788,2023-01-31
https://advertools.readthedocs.io/,gbr,16,53,0.3018867924528302,32.05660377358491,2023-01-31
https://advertools.readthedocs.io/,deu,14,46,0.30434782608695654,21.347826086956523,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.logs.html,deu,12,274,0.043795620437956206,28.970802919708028,2023-01-31
https://advertools.readthedocs.io/,bra,11,55,0.2,49.09090909090909,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.emoji.html,ind,11,323,0.034055727554179564,25.69659442724458,2023-01-31
https://advertools.readthedocs.io/,fra,10,31,0.3225806451612903,36.12903225806452,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.logs.html,twn,8,180,0.044444444444444446,31.727777777777778,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.sitemaps.html,ind,8,1191,0.006717044500419815,61.98908480268682,2023-01-31
https://advertools.readthedocs.io/,can,7,25,0.28,30.24,2023-01-31
https://advertools.readthedocs.io/,pol,7,21,0.3333333333333333,34.23809523809524,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.sitemaps.html,usa,7,6213,0.0011266698857234831,53.51601480766136,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.word_frequency.html,usa,7,533,0.013133208255159476,27.814258911819888,2023-01-31
https://advertools.readthedocs.io/,irn,6,11,0.5454545454545454,7.181818181818182,2023-01-31
https://advertools.readthedocs.io/,nld,6,14,0.42857142857142855,22.714285714285715,2023-01-31
https://advertools.readthedocs.io/,tur,6,27,0.2222222222222222,31.962962962962962,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.emoji.html,deu,6,113,0.05309734513274336,32.36283185840708,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.logs.html,fra,6,170,0.03529411764705882,26.96470588235294,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.reverse_dns_lookup.html,usa,6,1327,0.00452147701582517,59.152976639035415,2023-01-31
https://advertools.readthedocs.io/,idn,5,41,0.12195121951219512,43.48780487804878,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.urlytics.html,ind,5,142,0.035211267605633804,15.605633802816902,2023-01-31
https://advertools.readthedocs.io/,aus,4,12,0.3333333333333333,31.416666666666668,2023-01-31
https://advertools.readthedocs.io/,esp,4,24,0.16666666666666666,28.583333333333332,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.logs.html,can,4,135,0.02962962962962963,29.822222222222223,2023-01-31
https://advertools.readthedocs.io/en/master/advertools.reverse_dns_lookup.html,ind,4,409,0.009779951100244499,54.40831295843521,2023-01-31
https://advertools.readthedocs.io/,jpn,3,13,0.23076923076923078,39.46153846153846,2023-01-31
https://advertools.readthedocs.io/,kor,3,35,0.08571428571428572,47.57142857142857,2023-01-31
https://advertools.readthedocs.io/,pak,3,26,0.11538461538461539,31.692307692307693,2023-01-31
https://advertools.readthedocs.io/,rus,3,63,0.047619047619047616,59.04761904761905,2023-01-31
https://advertools.readthedocs.io/,sgp,3,8,0.375,37.125,2023-01-31
